"ParticipantNum","density","NumAgents","FollowPercentage"
62,"LowDensity",4,58.0645161290323
63,"LowDensity",4,51.6129032258064
64,"LowDensity",4,56
65,"LowDensity",4,55
66,"LowDensity",4,96.1538461538462
67,"LowDensity",4,56.7567567567568
68,"LowDensity",4,61.7647058823529
69,"LowDensity",4,61.1111111111111
70,"LowDensity",4,47.3684210526316
71,"LowDensity",4,57.1428571428571
72,"LowDensity",4,39.2857142857143
73,"LowDensity",4,48.5714285714286
74,"LowDensity",4,60.5263157894737
75,"LowDensity",4,61.5384615384615
76,"LowDensity",4,38.8888888888889
77,"LowDensity",4,69.6969696969697
78,"LowDensity",4,60
79,"LowDensity",4,48.2758620689655
80,"LowDensity",4,43.9024390243902
81,"LowDensity",4,54.1666666666667
82,"LowDensity",4,52.5
83,"LowDensity",4,74.468085106383
84,"LowDensity",4,94.2857142857143
85,"LowDensity",4,43.5897435897436
86,"LowDensity",4,75.8620689655172
87,"LowDensity",4,96.1538461538462
88,"LowDensity",4,62.962962962963
89,"LowDensity",4,32.3529411764706
90,"LowDensity",4,41.4634146341463
91,"LowDensity",4,29.4117647058824
92,"LowDensity",4,55.5555555555556
93,"LowDensity",4,44.8275862068966
94,"LowDensity",4,55.5555555555556
95,"LowDensity",4,40.625
96,"LowDensity",4,60
97,"LowDensity",4,51.3513513513513
98,"LowDensity",4,100
99,"LowDensity",4,41.9354838709677
100,"LowDensity",4,43.3333333333333
101,"LowDensity",4,96.6666666666667
102,"LowDensity",4,58.0645161290323
103,"LowDensity",4,48.5714285714286
104,"LowDensity",4,54.0540540540541
105,"LowDensity",4,47.0588235294118
106,"LowDensity",4,73.9130434782609
107,"LowDensity",4,78.125
108,"LowDensity",4,65.3846153846154
109,"LowDensity",4,48.7179487179487
110,"LowDensity",4,50
111,"LowDensity",4,58.0645161290323
112,"LowDensity",4,58.3333333333333
113,"LowDensity",4,50
114,"LowDensity",4,44.8275862068966
115,"LowDensity",4,48.6486486486487
116,"LowDensity",4,42.8571428571429
117,"LowDensity",4,50
118,"LowDensity",4,55.8139534883721
119,"LowDensity",4,42.8571428571429
120,"LowDensity",4,36.3636363636364
121,"LowDensity",4,44.4444444444444
122,"LowDensity",4,51.6129032258064
123,"LowDensity",4,58.6206896551724
124,"LowDensity",4,78.7878787878788
125,"LowDensity",4,63.8888888888889
126,"LowDensity",4,50
127,"LowDensity",4,56
128,"LowDensity",4,44.8275862068966
129,"LowDensity",4,55.5555555555556
130,"LowDensity",4,56.0975609756098
131,"LowDensity",4,45.4545454545455
132,"LowDensity",4,58.8235294117647
133,"LowDensity",4,58.0645161290323
134,"LowDensity",4,97.5609756097561
135,"LowDensity",4,48
136,"LowDensity",4,52.6315789473684
137,"LowDensity",4,44
138,"LowDensity",4,51.4285714285714
139,"LowDensity",4,69.2307692307692
140,"LowDensity",4,48.2758620689655
