"ParticipantNum","density","NumAgents","RT"
27,"LowDensity",3,1.82602813333333
28,"LowDensity",3,1.30753135135135
29,"LowDensity",3,1.01143945454545
30,"LowDensity",3,0.695990394736842
31,"LowDensity",3,1.71525841176471
32,"LowDensity",3,1.36120251428571
33,"LowDensity",3,1.95899904
34,"LowDensity",3,0.699591033333333
35,"LowDensity",3,1.6287505
36,"LowDensity",3,1.71088838888889
37,"LowDensity",3,1.50821944444444
38,"LowDensity",3,0.718770333333333
39,"LowDensity",3,0.969949465116279
40,"LowDensity",3,2.01477222222222
41,"LowDensity",3,1.05674072
42,"LowDensity",3,1.49707429032258
43,"LowDensity",3,1.30592121212121
44,"LowDensity",3,1.04695748148148
45,"LowDensity",3,0.899948111111111
46,"LowDensity",3,0.76268953125
47,"LowDensity",3,1.37608725
48,"LowDensity",3,1.35350582142857
49,"LowDensity",3,1.31669269230769
50,"LowDensity",3,2.10795935483871
51,"LowDensity",3,0.972850088235294
52,"LowDensity",3,1.29883648275862
53,"LowDensity",3,1.67101433333333
54,"LowDensity",3,0.986641148148148
55,"LowDensity",3,0.877109264705882
56,"LowDensity",3,1.08100583333333
57,"LowDensity",3,2.08313178125
58,"LowDensity",3,1.80951537777778
59,"LowDensity",3,1.12455236363636
60,"LowDensity",3,1.05679242105263
61,"LowDensity",3,0.753087676470588
62,"LowDensity",3,1.10358486666667
63,"LowDensity",3,0.718741527777778
64,"LowDensity",3,1.05292529032258
65,"LowDensity",3,1.69865113333333
66,"LowDensity",3,1.350502
67,"LowDensity",3,0.766555785714286
68,"LowDensity",3,1.02862765714286
69,"LowDensity",3,1.74830468965517
70,"LowDensity",3,0.883279205882353
71,"LowDensity",3,1.17500814814815
72,"LowDensity",3,1.50003692105263
73,"LowDensity",3,0.885893184210526
74,"LowDensity",3,0.83010405
75,"LowDensity",3,0.679013222222222
76,"LowDensity",3,1.18647293103448
77,"LowDensity",3,1.38703670967742
78,"LowDensity",3,1.15528980769231
79,"LowDensity",3,1.15628789655172
80,"LowDensity",3,0.926806172413793
81,"LowDensity",3,1.11803177777778
82,"LowDensity",3,0.979427454545455
83,"LowDensity",3,1.40052962068966
84,"LowDensity",3,1.58448195652174
85,"LowDensity",3,1.03367732142857
86,"LowDensity",3,0.989371142857143
87,"LowDensity",3,1.76461970588235
88,"LowDensity",3,1.0423177
89,"LowDensity",3,1.570476
90,"LowDensity",3,0.781536866666667
91,"LowDensity",3,1.0028135
92,"LowDensity",3,1.38532602272727
93,"LowDensity",3,0.904193714285714
94,"LowDensity",3,1.20054931111111
95,"LowDensity",3,0.755593548387097
96,"LowDensity",3,0.740888947368421
97,"LowDensity",3,0.733968793103448
98,"LowDensity",3,1.45678885714286
99,"LowDensity",3,1.35529264102564
100,"LowDensity",3,1.0804634375
101,"LowDensity",3,1.52949351428571
102,"LowDensity",3,0.884200548387097
103,"LowDensity",3,0.96897603125
104,"LowDensity",3,0.8893375625
105,"LowDensity",3,1.17813332142857
106,"LowDensity",3,1.40160426923077
107,"LowDensity",3,1.1496038125
108,"LowDensity",3,2.53374175
109,"LowDensity",3,1.40508504347826
110,"LowDensity",3,1.64220772413793
111,"LowDensity",3,1.05114157692308
112,"LowDensity",3,0.723234032258064
113,"LowDensity",3,1.19199338095238
114,"LowDensity",3,1.53406418918919
115,"LowDensity",3,0.780761703703704
116,"LowDensity",3,1.36293743333333
117,"LowDensity",3,1.70801540625
118,"LowDensity",3,1.39286644827586
119,"LowDensity",3,1.43627442105263
120,"LowDensity",3,1.1710692
