"ParticipantNum","groupSize","NumAgents","FollowPercentage"
4,"SmallGroup",4,65.8536585365854
5,"SmallGroup",4,44.1176470588235
6,"SmallGroup",4,67.8571428571429
7,"SmallGroup",4,27.2727272727273
8,"SmallGroup",4,47.0588235294118
9,"SmallGroup",4,57.8947368421053
10,"SmallGroup",4,55.5555555555556
11,"SmallGroup",4,76.9230769230769
12,"SmallGroup",4,54.0540540540541
13,"SmallGroup",4,52.9411764705882
14,"SmallGroup",4,96.551724137931
15,"SmallGroup",4,51.4285714285714
16,"SmallGroup",4,71.4285714285714
17,"SmallGroup",4,45.4545454545455
18,"SmallGroup",4,53.3333333333333
19,"SmallGroup",4,50
20,"SmallGroup",4,60.5263157894737
21,"SmallGroup",4,51.8518518518518
22,"SmallGroup",4,63.6363636363636
23,"SmallGroup",4,25.7142857142857
24,"SmallGroup",4,96.969696969697
25,"SmallGroup",4,58.8235294117647
26,"SmallGroup",4,71.875
27,"SmallGroup",4,83.7837837837838
28,"SmallGroup",4,50
29,"SmallGroup",4,68.9655172413793
30,"SmallGroup",4,67.741935483871
31,"SmallGroup",4,52.9411764705882
32,"SmallGroup",4,46.875
33,"SmallGroup",4,70.3703703703704
34,"SmallGroup",4,38.4615384615385
35,"SmallGroup",4,44.8275862068966
36,"SmallGroup",4,53.6585365853659
37,"SmallGroup",4,56.6666666666667
38,"SmallGroup",4,56
39,"SmallGroup",4,40.7407407407407
40,"SmallGroup",4,60
41,"SmallGroup",4,64.7058823529412
42,"SmallGroup",4,65.5172413793103
43,"SmallGroup",4,56.25
44,"SmallGroup",4,50
45,"SmallGroup",4,52.1739130434783
46,"SmallGroup",4,52.6315789473684
47,"SmallGroup",4,54.0540540540541
48,"SmallGroup",4,53.125
49,"SmallGroup",4,44.8275862068966
50,"SmallGroup",4,43.75
51,"SmallGroup",4,30
52,"SmallGroup",4,100
53,"SmallGroup",4,93.1034482758621
54,"SmallGroup",4,57.1428571428571
55,"SmallGroup",4,68.1818181818182
56,"SmallGroup",4,54.7619047619048
57,"SmallGroup",4,55.5555555555556
58,"SmallGroup",4,38.4615384615385
59,"SmallGroup",4,45.7142857142857
60,"SmallGroup",4,37.8378378378378
61,"SmallGroup",4,96
62,"SmallGroup",4,55.1724137931034
63,"SmallGroup",4,67.741935483871
64,"SmallGroup",4,63.1578947368421
65,"SmallGroup",4,59.0909090909091
66,"SmallGroup",4,48.7179487179487
67,"SmallGroup",4,96.2962962962963
68,"SmallGroup",4,96.551724137931
69,"SmallGroup",4,53.125
70,"SmallGroup",4,43.3333333333333
71,"SmallGroup",4,40.625
72,"SmallGroup",4,64
73,"SmallGroup",4,51.5151515151515
74,"SmallGroup",4,36.6666666666667
75,"SmallGroup",4,75
76,"SmallGroup",4,85
77,"SmallGroup",4,87.1794871794872
78,"SmallGroup",4,89.6551724137931
79,"SmallGroup",4,39.3939393939394
80,"SmallGroup",4,54.8387096774194
81,"SmallGroup",4,60.6060606060606
82,"SmallGroup",4,46.6666666666667
83,"SmallGroup",4,100
84,"SmallGroup",4,44.7368421052632
85,"SmallGroup",4,50
86,"SmallGroup",4,60
87,"SmallGroup",4,72.7272727272727
88,"SmallGroup",4,29.0322580645161
89,"SmallGroup",4,100
90,"SmallGroup",4,43.3333333333333
91,"SmallGroup",4,42.3076923076923
92,"SmallGroup",4,44.8275862068966
93,"SmallGroup",4,51.4285714285714
94,"SmallGroup",4,55
95,"SmallGroup",4,40.625
96,"SmallGroup",4,54.5454545454545
97,"SmallGroup",4,41.6666666666667
98,"SmallGroup",4,90
99,"SmallGroup",4,47.8260869565217
100,"SmallGroup",4,45.4545454545455
101,"SmallGroup",4,65
102,"SmallGroup",4,77.7777777777778
103,"SmallGroup",4,61.5384615384615
104,"SmallGroup",4,60.5263157894737
105,"SmallGroup",4,57.1428571428571
106,"SmallGroup",4,44.4444444444444
107,"SmallGroup",4,43.3333333333333
108,"SmallGroup",4,85.1851851851852
109,"SmallGroup",4,62.962962962963
110,"SmallGroup",4,54.2857142857143
111,"SmallGroup",4,61.2903225806452
112,"SmallGroup",4,44.4444444444444
113,"SmallGroup",4,76.6666666666667
114,"SmallGroup",4,64.7058823529412
115,"SmallGroup",4,38.0952380952381
116,"SmallGroup",4,40.4761904761905
117,"SmallGroup",4,84.375
118,"SmallGroup",4,55.1724137931034
119,"SmallGroup",4,61.1111111111111
120,"SmallGroup",4,56.7567567567568
121,"SmallGroup",4,52.5
122,"SmallGroup",4,56.6666666666667
123,"SmallGroup",4,57.1428571428571
124,"SmallGroup",4,46.6666666666667
125,"SmallGroup",4,96.1538461538462
126,"SmallGroup",4,59.375
127,"SmallGroup",4,53.125
128,"SmallGroup",4,100
129,"SmallGroup",4,54.8387096774194
130,"SmallGroup",4,43.3962264150943
131,"SmallGroup",4,63.8888888888889
132,"SmallGroup",4,50
133,"SmallGroup",4,75
134,"SmallGroup",4,42.3076923076923
135,"SmallGroup",4,75
136,"SmallGroup",4,44.8275862068966
